date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-03-30 15:00:00,60.84,60.85,60.83,60.8,6458.28,-0.01,-0.02,60.828,60.811,60.7425,7712.22,6210.34,5490.55,0.05
2018-03-30 14:55:00,60.83,60.91,60.85,60.81,12115.0,0.02,0.03,60.814,60.791,60.757,7122.7,6129.51,5385.24,0.1
2018-03-30 14:50:00,60.83,60.99,60.84,60.82,8693.68,0.01,0.02,60.822,60.756,60.7795,6596.09,5252.41,5249.34,0.07
2018-03-30 14:45:00,60.81,60.83,60.81,60.74,6930.8,0.0,0.0,60.792,60.733,60.7925,5644.15,4728.84,5147.67,0.06
2018-03-30 14:40:00,60.78,60.84,60.81,60.76,4363.32,0.03,0.05,60.782,60.715,60.8055,4829.05,4344.56,5170.63,0.04
2018-03-30 14:35:00,60.9,60.9,60.76,60.76,3510.72,-0.14,-0.23,60.794,60.693,60.814,4708.47,4764.54,5184.97,0.03
2018-03-30 14:30:00,60.69,61.0,60.89,60.61,9481.92,0.2,0.33,60.768,60.682,60.821,5136.31,4814.66,5296.43,0.08
2018-03-30 14:25:00,60.76,60.77,60.69,60.69,3934.0,-0.07,-0.12,60.69,60.659,60.8275,3908.73,4299.56,5529.15,0.03
2018-03-30 14:20:00,60.87,60.87,60.76,60.68,2855.28,-0.11,-0.18,60.674,60.659,60.8545,3813.53,4413.27,6750.88,0.02
2018-03-30 14:15:00,60.65,60.87,60.87,60.65,3760.44,0.22,0.36,60.648,60.671,60.8445,3860.07,4580.94,8285.09,0.03
2018-03-30 14:10:00,60.49,60.63,60.63,60.4,5649.92,0.14,0.23,60.592,60.674,60.82,4820.6,4770.76,8897.08,0.05
2018-03-30 14:05:00,60.61,60.62,60.5,60.5,3344.0,-0.11,-0.18,60.596,60.723,60.789,4493.02,4640.98,8844.88,0.03
2018-03-30 14:00:00,60.63,60.63,60.61,60.52,3458.0,-0.02,-0.03,60.628,60.803,60.766,4690.4,5246.28,8870.28,0.03
2018-03-30 13:55:00,60.59,60.69,60.63,60.59,3088.0,0.04,0.07,60.644,60.852,60.7355,5013.02,5566.51,8857.73,0.03
2018-03-30 13:50:00,60.66,60.66,60.59,60.49,8563.08,-0.07,-0.12,60.694,60.896,60.706,5301.82,5996.71,8880.67,0.07
2018-03-30 13:45:00,60.66,60.71,60.65,60.63,4012.0,-0.01,-0.02,60.756,60.935,60.6715,4720.92,5605.4,8645.62,0.03
2018-03-30 13:40:00,60.69,60.85,60.66,60.65,4330.92,-0.03,-0.05,60.85,60.96,60.6415,4788.94,5778.2,8833.77,0.04
2018-03-30 13:35:00,60.93,60.96,60.69,60.69,5071.08,-0.24,-0.39,60.978,60.996,60.623,5802.15,6758.73,9088.22,0.04
2018-03-30 13:30:00,60.9,61.0,60.88,60.85,4532.0,-0.02,-0.03,61.06,61.05,60.59,6120.0,9088.49,9258.22,0.04
